,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Arizona,Arizona State University,1130,1360,22,29,3.42,0.85
1,Arizona,University of Arizona,1070,1310,21,28,3.42,0.84
2,Arizona,Grand Canyon University,Not published,Not published,Not published,Not published,Not published,0.73
3,Arizona,Northern Arizona University,Not published,Not published,Not published,Not published,3.4,0.83
4,Arizona,University of Phoenix Online Campus,Not published,Not published,Not published,Not published,Not published,1.0
5,Arizona,Mesa Community College,Not published,Not published,Not published,Not published,Not published,1.0
6,Arizona,Phoenix College,Not published,Not published,Not published,Not published,Not published,1.0
7,Arizona,Pima Community College,Not published,Not published,Not published,Not published,Not published,1.0
8,Arizona,Glendale Community College,Not published,Not published,Not published,Not published,Not published,1.0
9,Arizona,Prescott College,Not published,Not published,Not published,Not published,3.11,0.95
10,Arizona,Estrella Mountain Community College,Not published,Not published,Not published,Not published,Not published,1.0
11,Arizona,Embry Riddle Aeronautical University Prescott,Not published,Not published,Not published,Not published,3.58,0.67
12,Arizona,Arizona Western College,Not published,Not published,Not published,Not published,Not published,1.0
13,Arizona,Arizona Christian University,930,1120,17,22,3.02,0.56
14,Arizona,Central Arizona College,Not published,Not published,Not published,Not published,Not published,1.0
15,Arizona,Paradise Valley Community College,Not published,Not published,Not published,Not published,Not published,1.0
16,Arizona,Scottsdale Community College,Not published,Not published,Not published,Not published,Not published,1.0
17,Arizona,Yavapai College,Not published,Not published,Not published,Not published,Not published,1.0
18,Arizona,Cochise College,Not published,Not published,Not published,Not published,Not published,1.0
19,Arizona,South Mountain Community College,Not published,Not published,Not published,Not published,Not published,1.0
