,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Arkansas,University of Arkansas,1100,1290,23,29,3.62,0.77
1,Arkansas,Harding University,1060,1300,22,29,3.58,0.75
2,Arkansas,Hendrix College,1160,1390,27,32,3.94,0.72
3,Arkansas,Arkansas State University Main Campus,1030,1200,21,27,3.44,0.77
4,Arkansas,Arkansas Tech University,Not published,Not published,Not published,Not published,3.16,0.9
5,Arkansas,Pulaski Technical College,Not published,Not published,Not published,Not published,Not published,1.0
6,Arkansas,Arkansas State University Beebe,Not published,Not published,Not published,Not published,Not published,1.0
7,Arkansas,NorthWest Arkansas Community College,Not published,Not published,Not published,Not published,Not published,1.0
8,Arkansas,University of Arkansas at Little Rock,950,1190,18,25,3.18,0.79
9,Arkansas,University of Central Arkansas,970,1170,21,27,3.3,0.91
10,Arkansas,Henderson State University,980,1130,19,25,3.19,0.91
11,Arkansas,Ouachita Baptist University,1040,1250,21,28,3.53,0.64
12,Arkansas,Lyon College,1040,1190,21,28,3.6,0.5
13,Arkansas,University of Arkansas at Monticello,Not published,Not published,Not published,Not published,2.71,1.0
14,Arkansas,John Brown University,1110,1360,23,30,3.72,0.77
15,Arkansas,Southern Arkansas University Main Campus,1000,1220,19,24,3.1,0.69
16,Arkansas,University of Arkansas at Pine Bluff,890,1040,16,20,2.99,0.44
17,Arkansas,University of Arkansas Fort Smith,Not published,Not published,Not published,Not published,Not published,1.0
18,Arkansas,University of the Ozarks,Not published,Not published,Not published,Not published,3.39,0.52
19,Arkansas,Ecclesia College,Not published,Not published,Not published,Not published,Not published,0.7
