,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,California,Stanford University,1420,1570,32,35,4.18,0.04
1,California,University of California Los Angeles,1290,1520,30,34,4.29,0.14
2,California,University of Southern California,1350,1530,30,34,3.73,0.13
3,California,San Diego State University,1110,1310,22,28,3.6,0.35
4,California,University of California Irvine,1190,1410,25,33,3.92,0.29
5,California,University of California Berkeley,1320,1530,31,35,3.86,0.15
6,California,University of California Santa Barbara,1230,1460,27,33,3.96,0.32
7,California,University of California Davis,1160,1400,24,32,3.99,0.41
8,California,San Jose State University,1030,1260,19,26,3.31,0.55
9,California,Pepperdine University,1220,1420,26,32,3.59,0.36
10,California,California State University Long Beach,1040,1250,20,26,3.5,0.31
11,California,University of California San Diego,1260,1470,27,33,3.82,0.3
12,California,San Francisco State University,950,1160,17,23,3.2,0.72
13,California,University of San Francisco,1130,1330,23,29,3.61,0.65
14,California,Loyola Marymount University,1210,1390,27,31,3.72,0.47
15,California,University of San Diego,1190,1360,25,30,3.88,0.53
16,California,California State University Los Angeles,890,1080,15,20,3.18,0.42
17,California,Santa Clara University,1270,1440,28,32,3.66,0.5
18,California,California Polytechnic State University San Luis Obispo,1240,1430,26,32,3.87,0.3
19,California,California State University Fullerton,1040,1220,19,24,3.48,0.43
