,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Delaware,University of Delaware,1160,1350,25,30,3.5,0.66
1,Delaware,Delaware State University,840,1010,17,22,2.94,0.49
2,Delaware,Wesley College,820,1020,15,20,2.7,0.62
3,Delaware,Goldey Beacom College,Not published,Not published,Not published,Not published,2.95,0.53
4,Delaware,Wilmington University,Not published,Not published,Not published,Not published,Not published,1.0
5,Delaware,Delaware Technical and Community College Owens,Not published,Not published,Not published,Not published,Not published,1.0
6,Delaware,Delaware Technical and Community College Stanton Wilmington,Not published,Not published,Not published,Not published,Not published,1.0
7,Delaware,Widener University Delaware Campus,Not published,Not published,Not published,Not published,Not published,1.0
8,Delaware,Delaware Technical and Community College Terry,Not published,Not published,Not published,Not published,Not published,1.0
9,Delaware,Delaware College of Art and Design,Not published,Not published,Not published,Not published,Not published,0.76
10,Delaware,University of Phoenix Delaware,Not published,Not published,Not published,Not published,Not published,1.0
