,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Florida,University of Florida,1280,1440,27,32,4.1,0.39
1,Florida,Florida State University,1200,1350,26,30,3.88,0.37
2,Florida,University of Miami,1250,1430,29,32,4.2,0.32
3,Florida,University of Central Florida,1160,1340,25,29,3.81,0.43
4,Florida,The University of Tampa,1090,1250,22,27,3.3,0.49
5,Florida,Florida Atlantic University,1080,1240,21,25,3.46,0.59
6,Florida,Florida Gulf Coast University,1060,1210,21,25,3.37,0.65
7,Florida,University of South Florida Main Campus,1170,1330,25,30,3.86,0.43
8,Florida,Florida International University,1090,1260,23,27,3.84,0.59
9,Florida,Nova Southeastern University,1080,1290,22,28,3.79,0.79
10,Florida,University of North Florida,1120,1280,21,27,3.73,0.61
11,Florida,The University of West Florida,1080,1250,22,27,3.43,0.42
12,Florida,Barry University,910,1080,17,22,2.92,0.91
13,Florida,Jacksonville University,900,1200,21,27,3.39,0.9
14,Florida,Embry Riddle Aeronautical University Daytona Beach,Not published,Not published,Not published,Not published,3.56,0.65
15,Florida,Flagler College St Augustine,1030,1220,20,26,3.53,0.57
16,Florida,Florida Institute of Technology,1150,1340,25,30,3.58,0.65
17,Florida,Valencia College,Not published,Not published,Not published,Not published,Not published,1.0
18,Florida,Eckerd College,1080,1280,23,28,3.34,0.68
19,Florida,Broward College,Not published,Not published,Not published,Not published,Not published,1.0
