,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Hawaii,University of Hawaii at Manoa,1050,1240,21,26,3.46,0.84
1,Hawaii,Hawaii Pacific University,1020,1220,19,26,3.39,0.75
2,Hawaii,University of Hawaii at Hilo,960,1170,17,23,3.34,0.79
3,Hawaii,Brigham Young University Hawaii,1080,1250,21,26,3.47,0.45
4,Hawaii,Chaminade University of Honolulu,970,1130,20,23,3.29,0.98
5,Hawaii,University of Hawaii West Oahu,930,1110,16,21,3.0,0.75
6,Hawaii,University of Hawaii Maui College,Not published,Not published,Not published,Not published,Not published,1.0
7,Hawaii,Leeward Community College,Not published,Not published,Not published,Not published,Not published,1.0
8,Hawaii,Honolulu Community College,Not published,Not published,Not published,Not published,Not published,1.0
9,Hawaii,Kapiolani Community College,Not published,Not published,Not published,Not published,Not published,1.0
10,Hawaii,Hawaii Community College,Not published,Not published,Not published,Not published,Not published,1.0
11,Hawaii,Windward Community College,Not published,Not published,Not published,Not published,Not published,1.0
12,Hawaii,Kauai Community College,Not published,Not published,Not published,Not published,Not published,1.0
13,Hawaii,New Hope Christian College,Not published,Not published,Not published,Not published,Not published,0.7
14,Hawaii,University of Phoenix Hawaii Campus,Not published,Not published,Not published,Not published,Not published,1.0
15,Hawaii,Remington College Honolulu Campus,Not published,Not published,Not published,Not published,Not published,1.0
