,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Idaho,Boise State University,1030,1220,21,26,3.4,0.81
1,Idaho,Brigham Young University Idaho,1010,1210,20,26,3.4,0.97
2,Idaho,University of Idaho,1010,1220,20,26,3.39,0.77
3,Idaho,Idaho State University,Not published,Not published,Not published,Not published,3.22,1.0
4,Idaho,North Idaho College,Not published,Not published,Not published,Not published,Not published,1.0
5,Idaho,Lewis Clark State College,890,1110,17,22,3.07,1.0
6,Idaho,College of Southern Idaho,Not published,Not published,Not published,Not published,Not published,1.0
7,Idaho,The College of Idaho,Not published,Not published,Not published,Not published,3.6,0.49
8,Idaho,Northwest Nazarene University,1020,1250,20,27,3.56,0.71
9,Idaho,Stevens Henager College,Not published,Not published,Not published,Not published,Not published,1.0
10,Idaho,Boise Bible College,980,1170,19,23,3.35,0.92
11,Idaho,Broadview University,Not published,Not published,Not published,Not published,Not published,1.0
12,Idaho,Brown Mackie College Boise,Not published,Not published,Not published,Not published,Not published,1.0
13,Idaho,Eastern Idaho Technical College,Not published,Not published,Not published,Not published,Not published,1.0
14,Idaho,University of Phoenix Idaho Campus,Not published,Not published,Not published,Not published,Not published,1.0
15,Idaho,CollegeAmerica Stevens Henager College,Not published,Not published,Not published,Not published,Not published,1.0
