,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Illinois,University of Chicago,1470,1570,33,35,4.0,0.07
1,Illinois,Northwestern University,1430,1550,33,35,3.92,0.08
2,Illinois,University of Illinois at Urbana Champaign,1200,1460,26,32,3.79,0.62
3,Illinois,University of Illinois at Chicago,1020,1220,21,27,3.29,0.76
4,Illinois,Loyola University Chicago,1120,1310,25,30,3.65,0.68
5,Illinois,DePaul University,Not published,Not published,Not published,Not published,3.65,0.68
6,Illinois,Illinois State University,1010,1190,20,26,3.36,0.89
7,Illinois,Northern Illinois University,970,1190,19,25,3.15,0.54
8,Illinois,Wheaton College,1210,1420,27,32,3.71,0.83
9,Illinois,Southern Illinois University Carbondale,1000,1210,20,26,2.86,0.72
10,Illinois,Bradley University,1090,1290,23,28,3.69,0.67
11,Illinois,College of DuPage,Not published,Not published,Not published,Not published,Not published,1.0
12,Illinois,Chicago State University,900,1020,16,20,2.98,0.33
13,Illinois,Northeastern Illinois University,Not published,Not published,15,22,2.87,0.56
14,Illinois,Columbia College Chicago,Not published,Not published,Not published,Not published,3.2,0.87
15,Illinois,Illinois Institute of Technology,1220,1400,26,31,3.92,0.58
16,Illinois,Lewis University,1040,1200,21,26,3.39,0.58
17,Illinois,Aurora University,970,1150,19,23,3.23,0.81
18,Illinois,Southern Illinois University Edwardsville,1010,1220,21,27,3.36,0.87
19,Illinois,Elmhurst College,990,1190,20,26,3.32,0.67
