,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Indiana,Purdue University Main Campus,1180,1410,25,32,3.7,0.58
1,Indiana,University of Notre Dame,1400,1550,33,35,3.91,0.18
2,Indiana,Indiana University Bloomington,1150,1360,24,31,3.62,0.77
3,Indiana,Ball State University,Not published,Not published,Not published,Not published,3.42,0.65
4,Indiana,Indiana State University,910,1120,16,23,3.06,0.9
5,Indiana,Butler University,1170,1330,25,30,3.77,0.68
6,Indiana,Ivy Tech Community College Central Indiana,Not published,Not published,Not published,Not published,Not published,1.0
7,Indiana,Indiana University Purdue University Indianapolis,1000,1200,19,26,3.33,0.81
8,Indiana,Valparaiso University,1070,1270,23,29,3.6,0.89
9,Indiana,DePauw University,1120,1340,23,29,3.75,0.63
10,Indiana,University of Indianapolis,990,1180,19,25,3.45,0.69
11,Indiana,Rose Hulman Institute of Technology,1270,1480,28,33,3.96,0.68
12,Indiana,Indiana University Purdue University Fort Wayne,970,1180,18,25,3.19,0.97
13,Indiana,Purdue University Calumet Campus,940,1140,18,24,3.08,0.59
14,Indiana,University of Evansville,1080,1300,22,28,3.74,0.69
15,Indiana,Anderson University,1000,1160,19,25,3.4,0.65
16,Indiana,Vincennes University,Not published,Not published,Not published,Not published,Not published,1.0
17,Indiana,Indiana Wesleyan University,1010,1220,21,26,3.59,0.68
18,Indiana,Holy Cross College,1100,1400,23,32,3.05,0.88
19,Indiana,Trine University,1010,1230,21,27,3.5,0.73
