,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Iowa,Iowa State University,1090,1330,22,28,3.6,0.91
1,Iowa,University of Iowa,1120,1330,23,28,3.61,0.83
2,Iowa,Drake University,1140,1360,24,30,3.7,0.68
3,Iowa,Grinnell College,1370,1530,30,34,3.89,0.24
4,Iowa,Cornell College,1080,1320,23,30,3.53,0.61
5,Iowa,Northwestern College,1050,1250,21,27,3.53,0.71
6,Iowa,University of Northern Iowa,980,1240,21,26,3.21,0.81
7,Iowa,Coe College,1080,1300,22,28,3.58,0.67
8,Iowa,University of Dubuque,850,1100,16,22,3.0,0.73
9,Iowa,Wartburg College,1020,1160,20,26,3.47,0.76
10,Iowa,Luther College,1050,1310,23,29,3.66,0.63
11,Iowa,Saint Ambrose University,1020,1190,20,26,3.28,0.63
12,Iowa,Grand View University,920,1110,18,23,3.2,0.92
13,Iowa,Kirkwood Community College,Not published,Not published,Not published,Not published,Not published,1.0
14,Iowa,Loras College,1000,1180,19,25,3.42,0.93
15,Iowa,Iowa Western Community College,Not published,Not published,Not published,Not published,Not published,1.0
16,Iowa,Iowa Central Community College,Not published,Not published,Not published,Not published,Not published,1.0
17,Iowa,Upper Iowa University,940,1170,18,23,3.21,0.5
18,Iowa,Central College,920,1180,20,27,3.61,0.7
19,Iowa,Morningside College,Not published,Not published,20,25,3.38,0.58
