,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Kansas,University of Kansas,Not published,Not published,23,29,3.5,0.92
1,Kansas,Kansas State University,Not published,Not published,Not published,Not published,3.47,0.93
2,Kansas,Wichita State University,1050,1290,20,26,3.47,0.96
3,Kansas,Baker University,930,1180,20,25,3.47,0.88
4,Kansas,Johnson County Community College,Not published,Not published,Not published,Not published,Not published,1.0
5,Kansas,Pittsburg State University,Not published,Not published,18,28,3.3,0.9
6,Kansas,Emporia State University,900,1180,19,25,3.31,0.85
7,Kansas,Benedictine College,1050,1280,21,28,3.49,0.93
8,Kansas,Washburn University,Not published,Not published,Not published,Not published,3.4,1.0
9,Kansas,Southwestern College,910,1080,18,23,3.44,0.56
10,Kansas,Newman University,1000,1180,20,26,3.55,0.62
11,Kansas,Butler Community College,Not published,Not published,Not published,Not published,Not published,1.0
12,Kansas,Hutchinson Community College,Not published,Not published,Not published,Not published,Not published,1.0
13,Kansas,Ottawa University Ottawa,950,1120,17,21,3.15,0.78
14,Kansas,McPherson College,990,1170,19,23,3.33,0.77
15,Kansas,Bethany College,890,1060,18,23,3.2,0.68
16,Kansas,University of Saint Mary,980,1170,19,23,3.29,0.61
17,Kansas,Fort Hays State University,Not published,Not published,Not published,Not published,3.25,0.92
18,Kansas,Garden City Community College,Not published,Not published,Not published,Not published,Not published,1.0
19,Kansas,Sterling College,930,1070,17,23,3.3,0.41
