,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Kentucky,University of Kentucky,1080,1300,23,29,3.46,0.94
1,Kentucky,University of Louisville,1070,1290,22,29,3.53,0.72
2,Kentucky,Northern Kentucky University,990,1230,20,26,3.24,0.89
3,Kentucky,Kentucky State University,820,1000,15,19,2.44,0.72
4,Kentucky,Western Kentucky University,980,1190,20,27,3.2,0.97
5,Kentucky,Murray State University,1030,1210,21,27,3.39,0.81
6,Kentucky,Morehead State University,Not published,Not published,20,26,3.35,0.79
7,Kentucky,Georgetown College,1020,1140,20,26,3.33,0.48
8,Kentucky,Bellarmine University,1060,1270,22,28,3.51,0.86
9,Kentucky,Eastern Kentucky University,1020,1190,20,26,3.22,0.87
10,Kentucky,Centre College,1190,1420,27,32,3.73,0.73
11,Kentucky,Transylvania University,1100,1310,24,30,3.7,0.89
12,Kentucky,Asbury University,Not published,Not published,Not published,Not published,3.66,0.67
13,Kentucky,Union College,940,1070,18,23,3.25,0.56
14,Kentucky,University of Pikeville,Not published,Not published,Not published,Not published,3.07,1.0
15,Kentucky,Kentucky Wesleyan College,830,1170,19,26,3.27,0.64
16,Kentucky,Jefferson Community and Technical College,Not published,Not published,Not published,Not published,Not published,1.0
17,Kentucky,Campbellsville University,940,1150,18,24,3.2,0.83
18,Kentucky,Spalding University,Not published,Not published,18,23,3.22,0.96
19,Kentucky,Lindsey Wilson College,Not published,Not published,Not published,Not published,3.25,1.0
