,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Maine,University of Maine,1050,1250,22,27,3.22,0.92
1,Maine,Colby College,1350,1510,31,33,3.86,0.13
2,Maine,Bowdoin College,Not published,Not published,Not published,Not published,Not published,0.1
3,Maine,University of Southern Maine,940,1150,19,25,3.01,0.85
4,Maine,Bates College,Not published,Not published,Not published,Not published,Not published,0.18
5,Maine,University of New England,1050,1240,20,26,3.26,0.8
6,Maine,Husson University,940,1160,17,21,3.22,0.77
7,Maine,Maine Maritime Academy,1000,1180,21,27,3.26,0.55
8,Maine,Saint Joseph's College of Maine,970,1170,18,23,Not published,0.84
9,Maine,Southern Maine Community College,Not published,Not published,Not published,Not published,Not published,1.0
10,Maine,University of Maine at Farmington,Not published,Not published,Not published,Not published,2.98,0.81
11,Maine,University of Maine at Augusta,Not published,Not published,Not published,Not published,Not published,1.0
12,Maine,Central Maine Community College,Not published,Not published,Not published,Not published,Not published,1.0
13,Maine,York County Community College,Not published,Not published,Not published,Not published,Not published,1.0
14,Maine,Maine College of Art,Not published,Not published,Not published,Not published,Not published,0.61
15,Maine,University of Maine at Presque Isle,Not published,Not published,Not published,Not published,Not published,0.92
16,Maine,University of Maine at Fort Kent,900,1110,16,21,3.1,0.95
17,Maine,Kennebec Valley Community College,Not published,Not published,Not published,Not published,Not published,1.0
18,Maine,Thomas College,Not published,Not published,Not published,Not published,Not published,1.0
19,Maine,Purdue Global Maine Campus,Not published,Not published,Not published,Not published,Not published,1.0
