,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Maryland,Johns Hopkins University,1450,1560,33,35,3.74,0.11
1,Maryland,University of Maryland College Park,1290,1470,29,33,4.11,0.47
2,Maryland,Towson University,1060,1200,20,25,3.61,0.79
3,Maryland,Morgan State University,920,1080,16,20,2.65,0.66
4,Maryland,United States Naval Academy,1150,1370,26,32,3.8,0.09
5,Maryland,University of Maryland Baltimore County,1190,1360,24,29,3.76,0.58
6,Maryland,Bowie State University,Not published,Not published,Not published,Not published,2.98,0.38
7,Maryland,Salisbury University,Not published,Not published,Not published,Not published,3.71,0.62
8,Maryland,Loyola University Maryland,Not published,Not published,Not published,Not published,3.45,0.79
9,Maryland,Mount St Mary's University,1000,1210,18,25,3.42,0.68
10,Maryland,Montgomery College,Not published,Not published,Not published,Not published,Not published,1.0
11,Maryland,University of Maryland Eastern Shore,870,1050,15,20,2.9,0.54
12,Maryland,Stevenson University,1030,1200,19,24,3.2,0.73
13,Maryland,Frostburg State University,930,1110,17,23,3.13,0.78
14,Maryland,Maryland Institute College of Art,1030,1290,22,29,3.45,0.64
15,Maryland,Prince George's Community College,Not published,Not published,Not published,Not published,Not published,1.0
16,Maryland,University of Baltimore,910,1120,21,23,2.91,0.78
17,Maryland,Coppin State University,880,1030,16,20,2.91,0.38
18,Maryland,St John's College,1200,1460,24,33,3.78,0.58
19,Maryland,McDaniel College,1050,1230,21,27,3.5,0.64
