,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Michigan,University of Michigan,1330,1510,30,34,3.82,0.23
1,Michigan,Michigan State University,1110,1310,23,29,3.62,0.78
2,Michigan,Grand Valley State University,1050,1240,21,27,3.52,0.83
3,Michigan,Wayne State University,1010,1210,21,27,3.22,0.71
4,Michigan,Central Michigan University,1000,1200,20,27,3.32,0.69
5,Michigan,University of Michigan Dearborn,1070,1290,23,30,3.54,0.78
6,Michigan,Oakland University,1010,1240,21,28,3.37,0.84
7,Michigan,Western Michigan University,990,1190,20,26,3.28,0.81
8,Michigan,Concordia University Ann Arbor,Not published,Not published,19,23,2.2,0.49
9,Michigan,Eastern Michigan University,890,1170,15,23,3.23,0.76
10,Michigan,Ferris State University,940,1170,19,26,3.29,0.81
11,Michigan,Northern Michigan University,970,1180,20,26,3.13,0.66
12,Michigan,Michigan Technological University,1170,1360,24,30,3.6,0.74
13,Michigan,Hope College,1110,1330,23,29,3.73,0.76
14,Michigan,Calvin College,1150,1370,24,30,3.67,0.79
15,Michigan,Adrian College,940,1160,19,26,3.29,0.65
16,Michigan,Oakland Community College,Not published,Not published,Not published,Not published,Not published,1.0
17,Michigan,Saginaw Valley State University,990,1200,19,26,Not published,0.77
18,Michigan,Schoolcraft College,Not published,Not published,Not published,Not published,Not published,1.0
19,Michigan,Henry Ford Community College,Not published,Not published,Not published,Not published,Not published,1.0
