,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Minnesota,University of Minnesota Twin Cities,1270,1480,26,31,3.75,0.52
1,Minnesota,University of Minnesota Duluth,1120,1340,21,26,3.43,0.74
2,Minnesota,Saint Cloud State University,960,1240,18,24,3.14,0.86
3,Minnesota,Carleton College,1350,1530,31,34,3.9,0.2
4,Minnesota,St Olaf College,1190,1410,25,32,3.62,0.5
5,Minnesota,Macalester College,1310,1500,29,33,3.81,0.41
6,Minnesota,University of St Thomas,1130,1380,24,29,3.55,0.8
7,Minnesota,Minnesota State University Mankato,Not published,Not published,19,24,3.27,0.61
8,Minnesota,Augsburg College,1170,1320,19,24,3.27,0.69
9,Minnesota,Hamline University,1060,1280,20,27,3.48,0.67
10,Minnesota,Winona State University,1000,1190,20,24,3.3,0.66
11,Minnesota,University of Minnesota Morris,1080,1350,22,27,3.62,0.63
12,Minnesota,Gustavus Adolphus College,Not published,Not published,Not published,Not published,3.66,0.66
13,Minnesota,Dunwoody College of Technology,Not published,Not published,Not published,Not published,Not published,0.7
14,Minnesota,Saint Johns University,1010,1280,22,28,3.51,0.8
15,Minnesota,Minneapolis Community and Technical College,Not published,Not published,Not published,Not published,Not published,1.0
16,Minnesota,Normandale Community College,Not published,Not published,Not published,Not published,Not published,1.0
17,Minnesota,Bemidji State University,Not published,Not published,19,24,3.1,0.67
18,Minnesota,St Catherine University,1120,1260,19,25,3.61,0.73
19,Minnesota,Bethel University,1030,1290,22,28,3.51,0.71
