,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Mississippi,Mississippi State University,1070,1330,22,29,3.32,0.57
1,Mississippi,University of Mississippi,1050,1270,21,29,3.5,0.88
2,Mississippi,Jackson State University,850,1070,17,22,2.93,0.69
3,Mississippi,Alcorn State University,820,1140,17,22,2.96,0.89
4,Mississippi,University of Southern Mississippi,Not published,Not published,19,25,3.15,0.98
5,Mississippi,Millsaps College,1080,1260,22,28,3.55,0.59
6,Mississippi,Mississippi College,1030,1240,21,28,3.49,0.38
7,Mississippi,East Mississippi Community College,Not published,Not published,Not published,Not published,Not published,1.0
8,Mississippi,Delta State University,950,1190,18,24,3.11,0.85
9,Mississippi,Jones County Junior College,Not published,Not published,Not published,Not published,Not published,1.0
10,Mississippi,Mississippi Valley State University,Not published,Not published,15,19,2.74,0.86
11,Mississippi,Belhaven University,Not published,Not published,Not published,Not published,3.32,0.52
12,Mississippi,Hinds Community College,Not published,Not published,Not published,Not published,Not published,1.0
13,Mississippi,Rust College,Not published,Not published,Not published,Not published,2.7,0.53
14,Mississippi,William Carey University,930,1150,21,29,3.46,0.68
15,Mississippi,Northwest Mississippi Community College,Not published,Not published,Not published,Not published,Not published,1.0
16,Mississippi,Itawamba Community College,Not published,Not published,Not published,Not published,Not published,1.0
17,Mississippi,Blue Mountain College,890,1030,19,25,3.42,0.93
18,Mississippi,Mississippi University for Women,1080,1110,18,24,3.27,0.98
19,Mississippi,Tougaloo College,790,1100,16,23,3.17,0.91
