,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Montana,Montana State University,1090,1320,21,28,3.3,0.82
1,Montana,The University of Montana,1040,1260,20,26,3.43,0.88
2,Montana,Carroll College,1070,1270,22,28,3.54,0.78
3,Montana,Montana State University Billings,Not published,Not published,Not published,Not published,3.18,1.0
4,Montana,Flathead Valley Community College,Not published,Not published,Not published,Not published,Not published,1.0
5,Montana,Rocky Mountain College,990,1180,20,25,3.29,0.58
6,Montana,Miles Community College,Not published,Not published,Not published,Not published,Not published,1.0
7,Montana,Dawson Community College,Not published,Not published,Not published,Not published,Not published,1.0
8,Montana,Montana State University Great Falls College of Technology,Not published,Not published,Not published,Not published,Not published,1.0
9,Montana,Montana Tech College of Technology,Not published,Not published,Not published,Not published,Not published,1.0
10,Montana,University of Montana Helena College of Technology,Not published,Not published,Not published,Not published,Not published,1.0
11,Montana,Montana Tech of the University of Montana,1110,1230,22,27,3.49,0.92
12,Montana,The University of Montana Western,940,1120,17,22,3.0,0.6
13,Montana,Fort Peck Community College,Not published,Not published,Not published,Not published,Not published,1.0
14,Montana,University of Great Falls,Not published,Not published,Not published,Not published,3.2,0.56
15,Montana,Salish Kootenai College,Not published,Not published,Not published,Not published,Not published,1.0
16,Montana,Chief Dull Knife College,Not published,Not published,Not published,Not published,Not published,1.0
17,Montana,Fort Belknap College,Not published,Not published,Not published,Not published,Not published,1.0
18,Montana,Montana State University Northern,Not published,Not published,Not published,Not published,Not published,1.0
19,Montana,Blackfeet Community College,Not published,Not published,Not published,Not published,Not published,1.0
