,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Nevada,University of Nevada Las Vegas,1030,1240,19,24,3.25,0.82
1,Nevada,University of Nevada Reno,1070,1280,21,26,3.37,0.88
2,Nevada,College of Southern Nevada,Not published,Not published,Not published,Not published,Not published,1.0
3,Nevada,Nevada State College,Not published,Not published,Not published,Not published,Not published,0.81
4,Nevada,Truckee Meadows Community College,Not published,Not published,Not published,Not published,Not published,1.0
5,Nevada,Western Nevada College,Not published,Not published,Not published,Not published,Not published,1.0
6,Nevada,Sierra Nevada College,1020,1190,18,23,2.98,0.64
7,Nevada,Great Basin College,Not published,Not published,Not published,Not published,Not published,1.0
8,Nevada,University of Phoenix Las Vegas Campus,Not published,Not published,Not published,Not published,Not published,1.0
9,Nevada,Morrison University,Not published,Not published,Not published,Not published,Not published,1.0
10,Nevada,DeVry University Nevada,Not published,Not published,Not published,Not published,Not published,0.86
11,Nevada,University of Phoenix Northern Nevada Campus,Not published,Not published,Not published,Not published,Not published,1.0
