,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Oklahoma,University of Oklahoma Norman Campus,1140,1350,23,29,3.59,0.78
1,Oklahoma,University of Tulsa,1180,1410,25,32,3.8,0.41
2,Oklahoma,Oklahoma State University Main Campus,1060,1280,22,28,3.53,0.74
3,Oklahoma,University of Central Oklahoma,Not published,Not published,19,24,3.3,0.78
4,Oklahoma,Oral Roberts University,1020,1220,19,25,3.45,0.81
5,Oklahoma,Northeastern State University,920,1120,18,23,3.31,0.98
6,Oklahoma,East Central University,930,1110,18,23,3.3,0.83
7,Oklahoma,Tulsa Community College,Not published,Not published,Not published,Not published,Not published,1.0
8,Oklahoma,Oklahoma City University,1090,1280,23,29,3.59,0.76
9,Oklahoma,Oklahoma City Community College,Not published,Not published,Not published,Not published,Not published,1.0
10,Oklahoma,Langston University,Not published,Not published,Not published,Not published,Not published,1.0
11,Oklahoma,Southeastern Oklahoma State University,Not published,Not published,18,23,3.27,0.75
12,Oklahoma,Southwestern Oklahoma State University,Not published,Not published,18,24,3.4,0.92
13,Oklahoma,Bacone College,820,900,14,19,2.83,0.15
14,Oklahoma,Rogers State University,Not published,Not published,Not published,Not published,Not published,1.0
15,Oklahoma,Oklahoma Christian University,1020,1280,20,27,3.5,0.65
16,Oklahoma,Northwestern Oklahoma State University,1030,1240,17,22,3.22,0.62
17,Oklahoma,Rose State College,Not published,Not published,Not published,Not published,Not published,1.0
18,Oklahoma,Oklahoma Wesleyan University,690,1040,16,21,Not published,0.68
19,Oklahoma,Oklahoma State University Oklahoma City,Not published,Not published,Not published,Not published,Not published,1.0
