,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Oregon,University of Oregon,1080,1290,22,28,3.6,0.83
1,Oregon,Oregon State University,1080,1310,22,28,3.56,0.81
2,Oregon,Portland State University,1010,1230,18,25,3.38,0.9
3,Oregon,University of Portland,1140,1320,23,28,3.63,0.75
4,Oregon,Reed College,1310,1520,30,33,3.9,0.35
5,Oregon,Portland Community College,Not published,Not published,Not published,Not published,Not published,1.0
6,Oregon,Lewis & Clark College,Not published,Not published,Not published,Not published,3.9,0.74
7,Oregon,Willamette University,Not published,Not published,Not published,Not published,3.69,0.84
8,Oregon,Southern Oregon University,920,1150,19,25,3.3,0.76
9,Oregon,Western Oregon University,Not published,Not published,Not published,Not published,3.2,0.84
10,Oregon,Pacific University,1060,1250,21,27,3.6,0.85
11,Oregon,Concordia University Portland,990,1170,18,23,3.42,0.6
12,Oregon,George Fox University,1020,1230,21,27,3.56,0.82
13,Oregon,Chemeketa Community College,Not published,Not published,Not published,Not published,Not published,1.0
14,Oregon,Linn Benton Community College,Not published,Not published,Not published,Not published,Not published,1.0
15,Oregon,Rogue Community College,Not published,Not published,Not published,Not published,Not published,1.0
16,Oregon,Clackamas Community College,Not published,Not published,Not published,Not published,Not published,1.0
17,Oregon,Lane Community College,Not published,Not published,Not published,Not published,Not published,1.0
18,Oregon,Eastern Oregon University,940,1130,18,23,3.1,0.98
19,Oregon,Mt Hood Community College,Not published,Not published,Not published,Not published,Not published,1.0
