,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Tennessee,Vanderbilt University,1450,1560,33,35,3.76,0.1
1,Tennessee,The University of Tennessee,1150,1330,25,31,3.85,0.78
2,Tennessee,University of Memphis,970,1210,19,26,3.33,0.84
3,Tennessee,Belmont University,1120,1300,24,29,3.6,0.82
4,Tennessee,Middle Tennessee State University,1020,1240,20,26,3.35,0.94
5,Tennessee,Tennessee State University,Not published,Not published,Not published,Not published,2.85,1.0
6,Tennessee,Fisk University,890,1120,17,23,2.98,0.71
7,Tennessee,The University of Tennessee at Chattanooga,990,1210,21,27,3.37,0.76
8,Tennessee,Rhodes College,1240,1410,28,31,3.78,0.45
9,Tennessee,Austin Peay State University,960,1180,19,24,3.2,0.94
10,Tennessee,Lipscomb University,1060,1320,22,29,3.56,0.6
11,Tennessee,East Tennessee State University,970,1180,20,27,3.3,0.87
12,Tennessee,Nashville State Community College,Not published,Not published,Not published,Not published,Not published,1.0
13,Tennessee,Lee University,960,1220,21,28,3.53,0.89
14,Tennessee,Tennessee Technological University,1050,1260,21,27,3.5,0.76
15,Tennessee,Maryville College,910,1160,21,29,3.45,0.55
16,Tennessee,Le Moyne Owen College,Not published,Not published,14,17,2.5,0.93
17,Tennessee,Chattanooga State Community College,Not published,Not published,Not published,Not published,Not published,1.0
18,Tennessee,Sewanee The University of the South,Not published,Not published,Not published,Not published,3.6,0.65
19,Tennessee,Carson Newman College,960,1170,20,26,3.4,0.66
