,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Utah,Brigham Young University Provo,1190,1420,26,31,3.8,0.64
1,Utah,University of Utah,1130,1350,22,29,3.55,0.67
2,Utah,Utah State University,1050,1290,21,28,3.46,0.89
3,Utah,Utah Valley University,Not published,Not published,Not published,Not published,3.39,1.0
4,Utah,Salt Lake Community College,Not published,Not published,Not published,Not published,Not published,1.0
5,Utah,Southern Utah University,1010,1250,21,27,3.5,0.79
6,Utah,Weber State University,Not published,Not published,Not published,Not published,3.12,1.0
7,Utah,Westminster College,1080,1260,21,27,3.5,0.93
8,Utah,Dixie State College of Utah,Not published,Not published,Not published,Not published,3.2,1.0
9,Utah,Independence University,Not published,Not published,Not published,Not published,Not published,1.0
10,Utah,Snow College,Not published,Not published,Not published,Not published,Not published,1.0
11,Utah,Provo College Provo,Not published,Not published,Not published,Not published,Not published,1.0
12,Utah,Latter day Saints Business College,Not published,Not published,Not published,Not published,Not published,1.0
13,Utah,AmeriTech College Draper,Not published,Not published,Not published,Not published,Not published,0.68
14,Utah,Utah State University College of Eastern Utah,Not published,Not published,Not published,Not published,Not published,1.0
15,Utah,University of Phoenix Utah Campus,Not published,Not published,Not published,Not published,Not published,1.0
16,Utah,Broadview University Orem,Not published,Not published,Not published,Not published,Not published,1.0
17,Utah,Neumont College of Computer Science,Not published,Not published,Not published,Not published,3.2,0.84
18,Utah,Provo College American Fork,Not published,Not published,Not published,Not published,Not published,1.0
19,Utah,Broadview University Layton,Not published,Not published,Not published,Not published,Not published,1.0
