,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Vermont,University of Vermont,1180,1360,26,31,3.69,0.68
1,Vermont,Middlebury College,1330,1500,31,34,3.89,0.17
2,Vermont,Norwich University,Not published,Not published,Not published,Not published,3.04,0.66
3,Vermont,Champlain College,1090,1280,22,28,3.04,0.75
4,Vermont,Saint Michael's College,Not published,Not published,Not published,Not published,3.46,0.83
5,Vermont,Castleton State College,920,1110,18,23,2.9,0.85
6,Vermont,Bennington College,Not published,Not published,Not published,Not published,3.5,0.57
7,Vermont,Lyndon State College,Not published,Not published,Not published,Not published,3.11,1.0
8,Vermont,Green Mountain College,990,1180,17,25,2.7,0.72
9,Vermont,Landmark College,Not published,Not published,Not published,Not published,Not published,0.57
10,Vermont,Johnson State College,Not published,Not published,Not published,Not published,3.28,0.84
11,Vermont,Southern Vermont College,Not published,Not published,Not published,Not published,2.8,0.91
12,Vermont,Goddard College,Not published,Not published,Not published,Not published,Not published,1.0
13,Vermont,Community College of Vermont,Not published,Not published,Not published,Not published,Not published,1.0
14,Vermont,Marlboro College,Not published,Not published,Not published,Not published,3.11,0.59
15,Vermont,Vermont Technical College,Not published,Not published,Not published,Not published,3.01,0.68
16,Vermont,College of St Joseph,Not published,Not published,Not published,Not published,3.12,0.47
17,Vermont,Sterling College,Not published,Not published,Not published,Not published,Not published,0.93
