,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Washington,University of Washington Seattle Campus,1220,1460,27,32,3.75,0.49
1,Washington,Washington State University,1020,1210,20,26,3.3,0.77
2,Washington,Western Washington University,1080,1280,22,29,3.42,0.88
3,Washington,Seattle University,1130,1320,24,30,3.58,0.76
4,Washington,Gonzaga University,1190,1350,25,30,3.73,0.66
5,Washington,Central Washington University,960,1160,17,24,3.2,0.78
6,Washington,Seattle Pacific University,1030,1240,20,27,3.55,0.9
7,Washington,Eastern Washington University,870,1080,17,23,3.24,0.63
8,Washington,Bellevue College,Not published,Not published,Not published,Not published,Not published,1.0
9,Washington,University of Washington Tacoma Campus,980,1190,16,23,3.25,0.86
10,Washington,Whitman College,1230,1450,27,32,3.74,0.5
11,Washington,University of Puget Sound,Not published,Not published,Not published,Not published,Not published,0.88
12,Washington,Pacific Lutheran University,1070,1270,20,28,3.66,0.8
13,Washington,The Evergreen State College,Not published,Not published,Not published,Not published,3.0,0.95
14,Washington,Northwest University,1030,1220,21,26,3.46,0.95
15,Washington,Seattle Community College North Campus,Not published,Not published,Not published,Not published,Not published,1.0
16,Washington,University of Washington Bothell Campus,1030,1250,19,26,3.25,0.79
17,Washington,Bates Technical College,Not published,Not published,Not published,Not published,Not published,1.0
18,Washington,Whitworth University,1090,1290,21,28,3.74,0.91
19,Washington,Clark College,Not published,Not published,Not published,Not published,Not published,1.0
