,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Wyoming,University of Wyoming,1050,1280,22,28,3.48,0.96
1,Wyoming,University of Phoenix Cheyenne Campus,Not published,Not published,Not published,Not published,Not published,1.0
2,Wyoming,Sheridan College,Not published,Not published,Not published,Not published,Not published,1.0
3,Wyoming,Laramie County Community College,Not published,Not published,Not published,Not published,Not published,1.0
4,Wyoming,College America Cheyenne,Not published,Not published,Not published,Not published,Not published,1.0
5,Wyoming,Casper College,Not published,Not published,Not published,Not published,Not published,1.0
6,Wyoming,Northwest College,Not published,Not published,Not published,Not published,Not published,1.0
7,Wyoming,Western Wyoming Community College,Not published,Not published,Not published,Not published,Not published,1.0
8,Wyoming,Central Wyoming College,Not published,Not published,Not published,Not published,Not published,1.0
9,Wyoming,Eastern Wyoming College,Not published,Not published,Not published,Not published,Not published,1.0
